"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",186939765
"af","Africa","afbdi","Burundi","bdi",9291500
"af","Africa","afben","Benin","ben",49421018
"af","Africa","afbfa","Burkina Faso","bfa",66524379
"af","Africa","afbwa","Botswana","bwa",80478203.00000001
"af","Africa","afcaf","Central African Republic","caf",5656610
"af","Africa","afciv","Cote d'Ivoire","civ",129386929
"af","Africa","afcmr","Cameroon","cmr",308409582
"af","Africa","afcod","Democratic Republic of the Congo","cod",117997987.00000001
"af","Africa","afcog","Republic of the Congo","cog",100023323
"af","Africa","afcom","Comoros","com",52326
"af","Africa","afcpv","Cape Verde","cpv",19173
"af","Africa","afdji","Djibouti","dji",49570478
"af","Africa","afdza","Algeria","dza",1479417171
"af","Africa","afegy","Egypt","egy",5007125785
"af","Africa","aferi","Eritrea","eri",9188917
"af","Africa","afeth","Ethiopia","eth",174120017
"af","Africa","afgab","Gabon","gab",13163531
"af","Africa","afgha","Ghana","gha",166391357
"af","Africa","afgin","Guinea","gin",54392106
"af","Africa","afgmb","Gambia","gmb",5041482
"af","Africa","afgnb","Guinea-Bissau","gnb",141058
"af","Africa","afgnq","Equatorial Guinea","gnq",1577327
"af","Africa","afken","Kenya","ken",280828589
"af","Africa","aflbr","Liberia","lbr",7078425
"af","Africa","aflby","Libya","lby",331960114
"af","Africa","aflso","Lesotho","lso",8368
"af","Africa","afmar","Morocco","mar",1613754551
"af","Africa","afmdg","Madagascar","mdg",41188771
"af","Africa","afmli","Mali","mli",30755168
"af","Africa","afmoz","Mozambique","moz",55807996
"af","Africa","afmrt","Mauritania","mrt",17336584
"af","Africa","afmus","Mauritius","mus",4467767
"af","Africa","afmwi","Malawi","mwi",9544233
"af","Africa","afner","Niger","ner",4578009
"af","Africa","afnga","Nigeria","nga",1250509811
"af","Africa","afrwa","Rwanda","rwa",60107801
"af","Africa","afsdn","Sudan","sdn",304801505
"af","Africa","afsen","Senegal","sen",1311394173
"af","Africa","afsle","Sierra Leone","sle",1804745
"af","Africa","afsom","Somalia","som",14626951.999999998
"af","Africa","afssd","South Sudan","ssd",6759681
"af","Africa","afstp","Sao Tome and Principe","stp",7614
"af","Africa","afswz","Eswatini","swz",64157
"af","Africa","afsyc","Seychelles","syc",3469966
"af","Africa","aftcd","Chad","tcd",2163240
"af","Africa","aftgo","Togo","tgo",290816701
"af","Africa","aftun","Tunisia","tun",393456539
"af","Africa","aftza","Tanzania","tza",161048330
"af","Africa","afuga","Uganda","uga",90230969
"af","Africa","afzaf","South Africa","zaf",615752498
"af","Africa","afzmb","Zambia","zmb",17644125
"af","Africa","afzwe","Zimbabwe","zwe",21775900
"an","Antarctica","anatf","French South Antarctic Territory","atf",769
"as","Asia","asafg","Afghanistan","afg",79186680
"as","Asia","asare","United Arab Emirates","are",4615398587
"as","Asia","asarm","Armenia","arm",1821638820
"as","Asia","asaze","Azerbaijan","aze",2240133642
"as","Asia","asbgd","Bangladesh","bgd",1720412899
"as","Asia","asbhr","Bahrain","bhr",13839838
"as","Asia","asbrn","Brunei","brn",1141094296
"as","Asia","aschn","China","chn",70935208306
"as","Asia","ascyp","Cyprus","cyp",214487697
"as","Asia","asgeo","Georgia","geo",978104893
"as","Asia","ashkg","Hong Kong","hkg",1581665991
"as","Asia","asidn","Indonesia","idn",859173696
"as","Asia","asind","India","ind",7601860999
"as","Asia","asiot","British Indian Ocean Territory","iot",8496
"as","Asia","asirq","Iraq","irq",282630519
"as","Asia","asisr","Israel","isr",1718907862
"as","Asia","asjor","Jordan","jor",252463896
"as","Asia","asjpn","Japan","jpn",10992667745
"as","Asia","askaz","Kazakhstan","kaz",18135874260
"as","Asia","askgz","Kyrgyzstan","kgz",2194761949
"as","Asia","askhm","Cambodia","khm",42142632
"as","Asia","askor","South Korea","kor",16821314799
"as","Asia","askwt","Kuwait","kwt",590225427
"as","Asia","aslao","Laos","lao",34764554
"as","Asia","aslbn","Lebanon","lbn",570151568
"as","Asia","aslka","Sri Lanka","lka",145827079
"as","Asia","asmac","Macau","mac",3108472
"as","Asia","asmdv","Maldives","mdv",12856863
"as","Asia","asmmr","Burma","mmr",68539627
"as","Asia","asmng","Mongolia","mng",1813212542
"as","Asia","asmys","Malaysia","mys",1501464369
"as","Asia","asnpl","Nepal","npl",21594038
"as","Asia","asomn","Oman","omn",197708564
"as","Asia","aspak","Pakistan","pak",498127873
"as","Asia","asphl","Philippines","phl",560151325
"as","Asia","aspse","Palestine","pse",37636460
"as","Asia","asqat","Qatar","qat",149800020
"as","Asia","assau","Saudi Arabia","sau",2214195607
"as","Asia","assgp","Singapore","sgp",2615015333
"as","Asia","astha","Thailand","tha",592781752
"as","Asia","astjk","Tajikistan","tjk",1155825206
"as","Asia","astkm","Turkmenistan","tkm",473027391
"as","Asia","astur","Turkey","tur",20074236569
"as","Asia","asuzb","Uzbekistan","uzb",5123365690
"as","Asia","asvnm","Vietnam","vnm",2121238551
"as","Asia","asxxb","Chinese Taipei",,3721525964
"as","Asia","asyem","Yemen","yem",234382471
"eu","Europe","eualb","Albania","alb",132543109
"eu","Europe","euand","Andorra","and",13478448
"eu","Europe","euaut","Austria","aut",631140118
"eu","Europe","eubel","Belgium","bel",8965050742
"eu","Europe","eubgr","Bulgaria","bgr",2784202332
"eu","Europe","eubih","Bosnia and Herzegovina","bih",273405743
"eu","Europe","eublr","Belarus","blr",20488526521
"eu","Europe","euche","Switzerland","che",2834226281
"eu","Europe","eucze","Czechia","cze",6142121526
"eu","Europe","eudeu","Germany","deu",19245248159
"eu","Europe","eudnk","Denmark","dnk",2410886133
"eu","Europe","euesp","Spain","esp",5537619101
"eu","Europe","euest","Estonia","est",3884168012
"eu","Europe","eufin","Finland","fin",8929101409
"eu","Europe","eufra","France","fra",9422052173
"eu","Europe","eugbr","United Kingdom","gbr",24666258888
"eu","Europe","eugib","Gibraltar","gib",196158346.00000003
"eu","Europe","eugrc","Greece","grc",6330313351
"eu","Europe","euhrv","Croatia","hrv",817933881
"eu","Europe","euhun","Hungary","hun",3867498367
"eu","Europe","euirl","Ireland","irl",605600016
"eu","Europe","euisl","Iceland","isl",50936671
"eu","Europe","euita","Italy","ita",22205942589
"eu","Europe","eultu","Lithuania","ltu",4558407584
"eu","Europe","eulux","Luxembourg","lux",55217876
"eu","Europe","eulva","Latvia","lva",3521325077
"eu","Europe","eumda","Moldova","mda",1019426573
