"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",2398202
"af","Africa","afbdi","Burundi","bdi",1440417.9999999998
"af","Africa","afben","Benin","ben",772311
"af","Africa","afbfa","Burkina Faso","bfa",122782
"af","Africa","afbwa","Botswana","bwa",15712026.000000002
"af","Africa","afcaf","Central African Republic","caf",109184
"af","Africa","afciv","Cote d'Ivoire","civ",243430254
"af","Africa","afcmr","Cameroon","cmr",4081330
"af","Africa","afcod","Democratic Republic of the Congo","cod",306945
"af","Africa","afcog","Republic of the Congo","cog",138787
"af","Africa","afcom","Comoros","com",117815
"af","Africa","afcpv","Cape Verde","cpv",24278.999999999996
"af","Africa","afdza","Algeria","dza",17269178
"af","Africa","afegy","Egypt","egy",553790674
"af","Africa","aferi","Eritrea","eri",130779
"af","Africa","afeth","Ethiopia","eth",26746679
"af","Africa","afgab","Gabon","gab",66189091.99999999
"af","Africa","afgha","Ghana","gha",76698413
"af","Africa","afgin","Guinea","gin",92807562
"af","Africa","afgmb","Gambia","gmb",3754
"af","Africa","afgnq","Equatorial Guinea","gnq",5593
"af","Africa","afken","Kenya","ken",99941440
"af","Africa","aflbr","Liberia","lbr",4804519
"af","Africa","aflby","Libya","lby",522
"af","Africa","aflso","Lesotho","lso",72035
"af","Africa","afmar","Morocco","mar",383021029
"af","Africa","afmdg","Madagascar","mdg",9790192
"af","Africa","afmli","Mali","mli",614501
"af","Africa","afmoz","Mozambique","moz",40476218
"af","Africa","afmrt","Mauritania","mrt",49060005
"af","Africa","afmus","Mauritius","mus",7432543
"af","Africa","afmwi","Malawi","mwi",71379450.99999999
"af","Africa","afner","Niger","ner",153953
"af","Africa","afnga","Nigeria","nga",38755257
"af","Africa","afrwa","Rwanda","rwa",5464692
"af","Africa","afsdn","Sudan","sdn",263241
"af","Africa","afsen","Senegal","sen",1179820
"af","Africa","afshn","Saint Helena","shn",23504
"af","Africa","afsle","Sierra Leone","sle",634878
"af","Africa","afsom","Somalia","som",107649
"af","Africa","afssd","South Sudan","ssd",38330
"af","Africa","afstp","Sao Tome and Principe","stp",73439
"af","Africa","afswz","Eswatini","swz",2040145.0000000002
"af","Africa","afsyc","Seychelles","syc",183983.00000000003
"af","Africa","aftcd","Chad","tcd",10780
"af","Africa","aftgo","Togo","tgo",913584
"af","Africa","aftun","Tunisia","tun",118640673
"af","Africa","aftza","Tanzania","tza",26429972
"af","Africa","afuga","Uganda","uga",18124821
"af","Africa","afzaf","South Africa","zaf",685640734
"af","Africa","afzmb","Zambia","zmb",6931337
"af","Africa","afzwe","Zimbabwe","zwe",9795757
"an","Antarctica","anatf","French South Antarctic Territory","atf",327
"as","Asia","asafg","Afghanistan","afg",4459697
"as","Asia","asare","United Arab Emirates","are",768853574
"as","Asia","asarm","Armenia","arm",788593342
"as","Asia","asaze","Azerbaijan","aze",931381561
"as","Asia","asbgd","Bangladesh","bgd",1270902637
"as","Asia","asbhr","Bahrain","bhr",14201071
"as","Asia","asbrn","Brunei","brn",3864
"as","Asia","asbtn","Bhutan","btn",9508.999999999998
"as","Asia","ascck","Cocos (Keeling) Islands","cck",12461
"as","Asia","aschn","China","chn",67718279731
"as","Asia","ascxr","Christmas Island","cxr",805
"as","Asia","ascyp","Cyprus","cyp",95947605
"as","Asia","asgeo","Georgia","geo",612821520
"as","Asia","ashkg","Hong Kong","hkg",868386538
"as","Asia","asidn","Indonesia","idn",1786211615
"as","Asia","asind","India","ind",3683218975
"as","Asia","asirq","Iraq","irq",47238.99999999999
"as","Asia","asisr","Israel","isr",813496938
"as","Asia","asjor","Jordan","jor",77500166
"as","Asia","asjpn","Japan","jpn",7988899547
"as","Asia","askaz","Kazakhstan","kaz",5985541746
"as","Asia","askgz","Kyrgyzstan","kgz",410866592
"as","Asia","askhm","Cambodia","khm",198939655
"as","Asia","askor","South Korea","kor",10411146139
"as","Asia","askwt","Kuwait","kwt",1856120
"as","Asia","aslao","Laos","lao",11481756
"as","Asia","aslbn","Lebanon","lbn",14409269
"as","Asia","aslka","Sri Lanka","lka",192426574
"as","Asia","asmac","Macau","mac",1158207
"as","Asia","asmdv","Maldives","mdv",3140
"as","Asia","asmmr","Burma","mmr",144577770
"as","Asia","asmng","Mongolia","mng",114082877
"as","Asia","asmys","Malaysia","mys",1159612718
"as","Asia","asnpl","Nepal","npl",2700313
"as","Asia","asomn","Oman","omn",8971463
"as","Asia","aspak","Pakistan","pak",323418977
"as","Asia","asphl","Philippines","phl",444301685
"as","Asia","asprk","North Korea","prk",40568
"as","Asia","aspse","Palestine","pse",509129.99999999994
"as","Asia","asqat","Qatar","qat",48443761
"as","Asia","assau","Saudi Arabia","sau",298144981
"as","Asia","assgp","Singapore","sgp",625880279
"as","Asia","astha","Thailand","tha",1222181560
"as","Asia","astjk","Tajikistan","tjk",72999387
"as","Asia","astkm","Turkmenistan","tkm",133558132
"as","Asia","astls","Timor-Leste","tls",7066
"as","Asia","astur","Turkey","tur",5925824263
"as","Asia","asuzb","Uzbekistan","uzb",1708172671
"as","Asia","asvnm","Vietnam","vnm",3564417326
"as","Asia","asxxb","Chinese Taipei",,1538931196
"as","Asia","asyem","Yemen","yem",144816
"eu","Europe","eualb","Albania","alb",16853486
"eu","Europe","euand","Andorra","and",49723
"eu","Europe","euaut","Austria","aut",2282032017
"eu","Europe","eubel","Belgium","bel",3736387545
"eu","Europe","eubgr","Bulgaria","bgr",591816605
"eu","Europe","eubih","Bosnia and Herzegovina","bih",87224489
"eu","Europe","eublr","Belarus","blr",15818318899
"eu","Europe","euche","Switzerland","che",3610540562
"eu","Europe","eucze","Czechia","cze",4252876798
"eu","Europe","eudeu","Germany","deu",31252572369
"eu","Europe","eudnk","Denmark","dnk",1574949938
"eu","Europe","euesp","Spain","esp",2761447729
"eu","Europe","euest","Estonia","est",1390024974
"eu","Europe","eufin","Finland","fin",4359111921
"eu","Europe","eufra","France","fra",7455746559
"eu","Europe","eugbr","United Kingdom","gbr",3835211556
"eu","Europe","eugib","Gibraltar","gib",20111
"eu","Europe","eugrc","Greece","grc",467626459
"eu","Europe","euhrv","Croatia","hrv",272056760
"eu","Europe","euhun","Hungary","hun",2060896200
"eu","Europe","euirl","Ireland","irl",1293619046
"eu","Europe","euisl","Iceland","isl",46885314
"eu","Europe","euita","Italy","ita",8653970428
"eu","Europe","eultu","Lithuania","ltu",4138183374
"eu","Europe","eulux","Luxembourg","lux",193996935
"eu","Europe","eulva","Latvia","lva",1378336415
"eu","Europe","eumda","Moldova","mda",344768634
"eu","Europe","eumkd","North Macedonia","mkd",74037204
"eu","Europe","eumlt","Malta","mlt",16851361
"eu","Europe","eumne","Montenegro","mne",32312064
"eu","Europe","eunld","Netherlands","nld",7596526629
"eu","Europe","eunor","Norway","nor",521432176
"eu","Europe","eupol","Poland","pol",8834012626
"eu","Europe","euprt","Portugal","prt",301539947
"eu","Europe","eurou","Romania","rou",1335072317
"eu","Europe","eusmr","San Marino","smr",11078533
"eu","Europe","eusrb","Serbia","srb",1066212964
"eu","Europe","eusvk","Slovakia","svk",1984369574
"eu","Europe","eusvn","Slovenia","svn",1060296098
"eu","Europe","euswe","Sweden","swe",2654739357
"eu","Europe","euukr","Ukraine","ukr",3608641144
"na","North America","naatg","Antigua and Barbuda","atg",1915
"na","North America","nabhs","Bahamas","bhs",1637.9999999999998
"na","North America","nablz","Belize","blz",389966
"na","North America","nabmu","Bermuda","bmu",32940
"na","North America","nabrb","Barbados","brb",962668
"na","North America","nacan","Canada","can",538542540
"na","North America","nacri","Costa Rica","cri",79515421
"na","North America","nacuw","Curaçao","cuw",148160
"na","North America","nacym","Cayman Islands","cym",377496
"na","North America","nadma","Dominica","dma",52938
"na","North America","nadom","Dominican Republic","dom",35090176
"na","North America","nagrd","Grenada","grd",46256
"na","North America","nagrl","Greenland","grl",100996383
"na","North America","nagtm","Guatemala","gtm",63288021
"na","North America","nahnd","Honduras","hnd",14107441
"na","North America","nahti","Haiti","hti",324149
"na","North America","najam","Jamaica","jam",45401595
"na","North America","nakna","Saint Kitts and Nevis","kna",8364
"na","North America","nalca","Saint Lucia","lca",224222
"na","North America","namex","Mexico","mex",1182733403
"na","North America","namsr","Montserrat","msr",423
"na","North America","nanic","Nicaragua","nic",14000117
"na","North America","napan","Panama","pan",3382584
"na","North America","naslv","El Salvador","slv",4640861
"na","North America","naspm","Saint Pierre and Miquelon","spm",38
"na","North America","natca","Turks and Caicos Islands","tca",584
"na","North America","natto","Trinidad and Tobago","tto",1355322
"na","North America","nausa","United States","usa",7054930807
"na","North America","navgb","British Virgin Islands","vgb",15724
"oc","Oceania","ocasm","American Samoa","asm",5814
"oc","Oceania","ocaus","Australia","aus",782139409.0000001
"oc","Oceania","occok","Cook Islands","cok",29924
"oc","Oceania","ocfji","Fiji","fji",124322
"oc","Oceania","ocfsm","Micronesia","fsm",504
"oc","Oceania","ocgum","Guam","gum",131
"oc","Oceania","ocmhl","Marshall Islands","mhl",1651335
"oc","Oceania","ocmnp","Northern Mariana Islands","mnp",2726
"oc","Oceania","ocncl","New Caledonia","ncl",4663
"oc","Oceania","ocniu","Niue","niu",722
"oc","Oceania","ocnru","Nauru","nru",4680
"oc","Oceania","ocnzl","New Zealand","nzl",311507681
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",67343
"oc","Oceania","ocpng","Papua New Guinea","png",2947226
"oc","Oceania","ocpyf","French Polynesia","pyf",4714
"oc","Oceania","ocslb","Solomon Islands","slb",16315.000000000002
"oc","Oceania","octkl","Tokelau","tkl",11474
"oc","Oceania","octon","Tonga","ton",2259
"oc","Oceania","octuv","Tuvalu","tuv",6226
"oc","Oceania","ocvut","Vanuatu","vut",29546
"oc","Oceania","ocwlf","Wallis and Futuna","wlf",1183.9999999999998
"sa","South America","saarg","Argentina","arg",860384250
"sa","South America","sabol","Bolivia","bol",14100006
"sa","South America","sabra","Brazil","bra",1679042723
"sa","South America","sachl","Chile","chl",791312847
"sa","South America","sacol","Colombia","col",158039620
"sa","South America","saecu","Ecuador","ecu",1007538530
"sa","South America","saflk","Falkland Islands","flk",1083874
"sa","South America","saguy","Guyana","guy",248334
"sa","South America","saper","Peru","per",215190896
"sa","South America","sapry","Paraguay","pry",757133803.0000001
"sa","South America","sasur","Suriname","sur",26577
"sa","South America","saury","Uruguay","ury",114996697
